# Reference library (divisor): control
# Comparison library (numerator): AS
Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	AS_C1 raw countings	AS_C2 raw countings	AS_C3 raw countings	control_A1 raw countings	control_A2 raw countings	control_A3 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	CP032921.1	Genbank	gene	1	1563	.	+	.	ID=gene-At1D1108_00010;Name=dnaA;gbkey=Gene;gene=dnaA;gene_biotype=protein_coding;locus_tag=At1D1108_00010	4.0	43.0	9.0	4.0	3.5	99.0	12.265333801967	0.0540588314020539	0.396513119287678	0.136335542942863	0.891556026991445	0.999958075701613
sense	CP032921.1	Genbank	CDS	1	1563	.	+	0	ID=cds-AYM09631.1;Parent=gene-At1D1108_00010;Dbxref=NCBI_GP:AYM09631.1;Name=AYM09631.1;gbkey=CDS;gene=dnaA;locus_tag=At1D1108_00010;product=chromosomal replication initiator protein DnaA;protein_id=AYM09631.1;transl_table=11	4.0	43.0	9.0	4.0	3.5	99.0	12.265333801967	0.0540588314020539	0.396513119287678	0.136335542942863	0.891556026991445	0.999958075701613
sense	CP032921.1	Genbank	gene	1638	2837	.	-	.	ID=gene-At1D1108_00020;Name=hemN;gbkey=Gene;gene=hemN;gene_biotype=protein_coding;locus_tag=At1D1108_00020	26.805555555555557	74.0	36.75	77.5	62.5	127.0	69.5881214098738	-0.339813516055996	0.408787390279103	-0.831272011164495	0.405819982286362	0.999958075701613
sense	CP032921.1	Genbank	CDS	1638	2837	.	-	0	ID=cds-AYM09632.1;Parent=gene-At1D1108_00020;Dbxref=NCBI_GP:AYM09632.1;Name=AYM09632.1;gbkey=CDS;gene=hemN;locus_tag=At1D1108_00020;product=oxygen-independent coproporphyrinogen III oxidase;protein_id=AYM09632.1;transl_table=11	26.805555555555557	74.0	36.75	77.5	62.5	127.0	69.5881214098738	-0.339813516055996	0.408787390279103	-0.831272011164495	0.405819982286362	0.999958075701613
sense	CP032921.1	Genbank	gene	2843	3487	.	-	.	ID=gene-At1D1108_00030;Name=rdgB;gbkey=Gene;gene=rdgB;gene_biotype=protein_coding;locus_tag=At1D1108_00030	0.5555555555555556	23.25	1.5	1.0	1.5	34.0	4.29963924787433	0.064966115886025	0.401840786070505	0.161671284095653	0.871564718981169	NA
sense	CP032921.1	Genbank	CDS	2843	3487	.	-	0	ID=cds-AYM09633.1;Parent=gene-At1D1108_00030;Dbxref=NCBI_GP:AYM09633.1;Name=AYM09633.1;gbkey=CDS;gene=rdgB;locus_tag=At1D1108_00030;product=XTP/dITP diphosphohydrolase;protein_id=AYM09633.1;transl_table=11	0.5555555555555556	23.25	1.5	1.0	1.5	34.0	4.29963924787433	0.064966115886025	0.401840786070505	0.161671284095653	0.871564718981169	NA
sense	CP032921.1	Genbank	gene	3505	4221	.	-	.	ID=gene-At1D1108_00040;Name=rph;gbkey=Gene;gene=rph;gene_biotype=protein_coding;locus_tag=At1D1108_00040	0.3055555555555556	17.75	3.75	0.5	1.0	34.5	3.4550830578459	0.114005611408194	0.383657673762455	0.297154518741052	0.766348543119592	NA
sense	CP032921.1	Genbank	CDS	3505	4221	.	-	0	ID=cds-AYM09634.1;Parent=gene-At1D1108_00040;Dbxref=NCBI_GP:AYM09634.1;Name=AYM09634.1;gbkey=CDS;gene=rph;locus_tag=At1D1108_00040;product=ribonuclease PH;protein_id=AYM09634.1;transl_table=11	0.3055555555555556	17.75	3.75	0.5	1.0	34.5	3.4550830578459	0.114005611408194	0.383657673762455	0.297154518741052	0.766348543119592	NA
sense	CP032921.1	Genbank	gene	4397	5449	.	+	.	ID=gene-At1D1108_00050;Name=hrcA;gbkey=Gene;gene=hrcA;gene_biotype=protein_coding;locus_tag=At1D1108_00050	3.0	35.0	6.75	8.75	8.25	76.0	12.4757515129881	-0.315565444619019	0.3845915815425	-0.820520936400546	0.411919198975157	0.999958075701613
sense	CP032921.1	Genbank	CDS	4397	5449	.	+	0	ID=cds-AYM09635.1;Parent=gene-At1D1108_00050;Dbxref=NCBI_GP:AYM09635.1;Name=AYM09635.1;gbkey=CDS;gene=hrcA;locus_tag=At1D1108_00050;product=heat-inducible transcription repressor;protein_id=AYM09635.1;transl_table=11	3.0	35.0	6.75	8.75	8.25	76.0	12.4757515129881	-0.315565444619019	0.3845915815425	-0.820520936400546	0.411919198975157	0.999958075701613
